Size of matrices :  1024
threads       threads, s        usual, s        speedup
1             7.931708          11.904034        1.50082       RESULT is correct
2             2.612240          11.859886        4.54012       RESULT is correct
3             1.916893          11.946975        6.23247       RESULT is correct
4             1.710416          11.875571        6.94309       RESULT is correct
5             1.612877          11.958557        7.41443       RESULT is correct
6             1.415342          11.965208        8.45393       RESULT is correct
7             1.372986          11.842462        8.62533       RESULT is correct
8             1.230088          11.926089        9.69531       RESULT is correct
9             1.085219          11.929942        10.9931       RESULT is correct
10             1.099799          11.711619        10.6489       RESULT is correct
11             0.998731          12.059542        12.0749       RESULT is correct
